what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1289726088020
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1289726088020
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1289726088026
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1289726088027
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1289726088037
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1289726088041
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1289726088049
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1289726088069
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1289726088083
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1289726088096
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1289726088140
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1289726088140
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1289726088189
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1289726088222
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1289726088239
started,bundle,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.resources",1289726088245
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1289726088245
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1289726088263
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1289726088292
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1289726088308
os,sysinfo,,,"linux",1289726088313
arch,sysinfo,,,"x86",1289726088313
ws,sysinfo,,,"gtk",1289726088313
locale,sysinfo,,,"zh_CN",1289726088313
processors,sysinfo,,,"2",1289726088313
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1289726088313
java.runtime.version,sysinfo,,,"1.6.0_22-b04",1289726088313
java.specification.name,sysinfo,,,"Java Platform API Specification",1289726088313
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1289726088313
java.specification.version,sysinfo,,,"1.6",1289726088313
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1289726088313
java.version,sysinfo,,,"1.6.0_22",1289726088313
java.vm.info,sysinfo,,,"mixed mode, sharing",1289726088313
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1289726088313
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1289726088313
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1289726088313
java.vm.specification.version,sysinfo,,,"1.0",1289726088313
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1289726088313
java.vm.version,sysinfo,,,"17.1-b03",1289726088313
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1289726088337
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1289726088493
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1289726088520
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1289726088780
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1289726088807
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1289726088842
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1289726089034
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1289726089062
started,bundle,org.eclipse.epp.usagedata.ui,1.3.0.R201005261100,"org.eclipse.epp.usagedata.ui",1289726089340
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1289726090871
closed,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1289726090873
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.3.v20100909-0100-e3x,"org.eclipse.cdt.mylyn.ui",1289726090894
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1289726091022
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1289726092436
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1289726095934
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1289726098106
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1289726100462
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1289726100468
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1289726100489
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1289726108476
started,bundle,org.eclipse.equinox.p2.ui,2.0.0.v20100518,"org.eclipse.equinox.p2.ui",1289726108510
started,bundle,org.eclipse.ecf.filetransfer,4.0.0.v20100529-0735,"org.eclipse.ecf.filetransfer",1289726109134
started,bundle,org.eclipse.ecf.identity,3.1.0.v20100529-0735,"org.eclipse.ecf.identity",1289726109171
