what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1289726747871
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1289726751445
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1289726767494
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1289726768171
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.newWizard",1289726777671
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1289726777683
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1289726781494
started,bundle,com.python.pydev.refactoring,1.4.8.2881,"com.python.pydev.refactoring",1289726804074
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1289726804783
started,bundle,com.python.pydev.codecompletion,1.4.8.2881,"com.python.pydev.codecompletion",1289726805305
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1289726805596
opened,editor,org.python.pydev,1.4.8.2881,"org.python.pydev.editor.PythonEditor",1289726805635
activated,editor,org.python.pydev,1.4.8.2881,"org.python.pydev.editor.PythonEditor",1289726805805
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.newWizard",1289726806155
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1289726806218
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1289726810419
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1289726845804
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.selectAll",1289726846491
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1289726847036
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1289726847997
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1289726851244
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui",1289726854669
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1289726854837
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1289726855427
executed,command,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools.ExternalToolMenuDelegateToolbar",1289726856777
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1289726856803
executed,command,,,"org.python.pydev.debug.ui.launchShortcut.python.run",1289726865911
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1289726868624
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1289726875243
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1289726879268
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1289726880411
activated,view,org.python.pydev,1.4.8.2881,"org.python.pydev.navigator.view",1289726889702
activated,editor,org.python.pydev,1.4.8.2881,"org.python.pydev.editor.PythonEditor",1289726900156
executed,command,org.python.pydev,1.4.8.2881,"org.python.pydev.editor.actions.pyOrganizeImports",1289726902096
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1289726905021
executed,command,,,"AUTOGEN:::org.python.pydev.debug.BreakpointRulerActions/org.python.pydev.debug.BreakpointRulerAction",1289726908933
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1289726917768
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1289726920302
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1289726922206
opened,editor,org.python.pydev,1.4.8.2881,"org.python.pydev.editor.PythonEditor",1289726926134
activated,editor,org.python.pydev,1.4.8.2881,"org.python.pydev.editor.PythonEditor",1289726926241
activated,editor,org.python.pydev,1.4.8.2881,"org.python.pydev.editor.PythonEditor",1289726932247
closed,editor,org.python.pydev,1.4.8.2881,"org.python.pydev.editor.PythonEditor",1289726932247
opened,editor,org.python.pydev,1.4.8.2881,"org.python.pydev.editor.PythonEditor",1289726934560
activated,editor,org.python.pydev,1.4.8.2881,"org.python.pydev.editor.PythonEditor",1289726934674
activated,editor,org.python.pydev,1.4.8.2881,"org.python.pydev.editor.PythonEditor",1289726936355
closed,editor,org.python.pydev,1.4.8.2881,"org.python.pydev.editor.PythonEditor",1289726936356
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1289726959273
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1289726962960
started,bundle,org.eclipse.cdt.dsf,2.1.0.201009141542,"org.eclipse.cdt.dsf",1289726963152
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201009141542,"org.eclipse.cdt.dsf.gdb",1289726963153
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1289726963154
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1289726963227
started,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201009141542,"org.eclipse.cdt.debug.mi.core",1289726963318
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1289726975128
activated,view,org.python.pydev,1.4.8.2881,"org.python.pydev.navigator.view",1289726977178
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1289726978848
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1289726981357
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1289726981369
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1289726983620
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1289726986852
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1289726986863
activated,editor,org.python.pydev,1.4.8.2881,"org.python.pydev.editor.PythonEditor",1289726988131
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1289726992591
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1289726994071
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1289726994536
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1289726995908
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1289726999110
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1289727001103
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1289727006505
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1289727013113
opened,editor,org.python.pydev,1.4.8.2881,"org.python.pydev.editor.PythonEditor",1289727019413
activated,editor,org.python.pydev,1.4.8.2881,"org.python.pydev.editor.PythonEditor",1289727019519
activated,editor,org.python.pydev,1.4.8.2881,"org.python.pydev.editor.PythonEditor",1289727023726
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.navigate.backwardHistory",1289727023740
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1289727027438
error,log,,,"/icons/python_file.gif",1289727029474
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1289727032829
activated,editor,org.python.pydev,1.4.8.2881,"org.python.pydev.editor.PythonEditor",1289727035242
activated,editor,org.python.pydev,1.4.8.2881,"org.python.pydev.editor.PythonEditor",1289727035662
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1289727039835
activated,editor,org.python.pydev,1.4.8.2881,"org.python.pydev.editor.PythonEditor",1289727043211
opened,editor,org.python.pydev,1.4.8.2881,"org.python.pydev.editor.PythonEditor",1289727053052
activated,editor,org.python.pydev,1.4.8.2881,"org.python.pydev.editor.PythonEditor",1289727053188
activated,editor,org.python.pydev,1.4.8.2881,"org.python.pydev.editor.PythonEditor",1289727058483
closed,editor,org.python.pydev,1.4.8.2881,"org.python.pydev.editor.PythonEditor",1289727058483
activated,editor,org.python.pydev,1.4.8.2881,"org.python.pydev.editor.PythonEditor",1289727059477
closed,editor,org.python.pydev,1.4.8.2881,"org.python.pydev.editor.PythonEditor",1289727059477
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1289727063274
closed,editor,org.python.pydev,1.4.8.2881,"org.python.pydev.editor.PythonEditor",1289727063274
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1289727069709
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1289727109772
activated,view,org.python.pydev,1.4.8.2881,"org.python.pydev.navigator.view",1289727111563
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1289727115349
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1289727118115
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1289727118130
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1289727123136
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1289727134318
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1289727134852
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201009141542,"org.eclipse.cdt.debug.mi.core",1289727134852
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.0.201009141542,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1289727134853
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.0.201009141542,"org.eclipse.cdt.debug.ui.memory.search",1289727134853
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1289727134853
stopped,bundle,org.eclipse.cdt.dsf.ui,2.1.1.201009141542,"org.eclipse.cdt.dsf.ui",1289727134853
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201009141542,"org.eclipse.cdt.gdb.ui",1289727134853
stopped,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201009141542,"org.eclipse.cdt.dsf.gdb",1289727134853
stopped,bundle,org.eclipse.cdt.launch,6.1.0.201009141542,"org.eclipse.cdt.launch",1289727134854
stopped,bundle,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui",1289727134855
stopped,bundle,org.eclipse.cdt.debug.ui.memory.traditional,1.2.0.201009141542,"org.eclipse.cdt.debug.ui.memory.traditional",1289727134855
stopped,bundle,org.eclipse.cdt.dsf,2.1.0.201009141542,"org.eclipse.cdt.dsf",1289727134855
stopped,bundle,org.eclipse.cdt.debug.core,7.0.0.201009141542,"org.eclipse.cdt.debug.core",1289727134855
stopped,bundle,org.eclipse.cdt.managedbuilder.ui,7.0.0.201009141542,"org.eclipse.cdt.managedbuilder.ui",1289727134856
stopped,bundle,org.eclipse.cdt.make.ui,7.0.0.201009141542,"org.eclipse.cdt.make.ui",1289727134856
stopped,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,7.0.0.201009141542,"org.eclipse.cdt.managedbuilder.gnu.ui",1289727134856
stopped,bundle,org.eclipse.cdt.managedbuilder.core,7.0.1.201009141542,"org.eclipse.cdt.managedbuilder.core",1289727134857
stopped,bundle,org.eclipse.cdt.make.core,7.0.0.201009141542,"org.eclipse.cdt.make.core",1289727134857
stopped,bundle,org.eclipse.cdt.mylyn.ui,1.1.3.v20100909-0100-e3x,"org.eclipse.cdt.mylyn.ui",1289727134857
stopped,bundle,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui",1289727134857
stopped,bundle,org.eclipse.cdt.core,5.2.1.201009141542,"org.eclipse.cdt.core",1289727134859
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1289727134859
stopped,bundle,com.python.pydev.codecompletion,1.4.8.2881,"com.python.pydev.codecompletion",1289727134859
stopped,bundle,com.python.pydev.refactoring,1.4.8.2881,"com.python.pydev.refactoring",1289727134859
stopped,bundle,com.python.pydev.analysis,1.4.8.2881,"com.python.pydev.analysis",1289727134861
stopped,bundle,com.python.pydev.debug,1.4.8.2881,"com.python.pydev.debug",1289727134861
stopped,bundle,com.python.pydev.fastparser,1.4.8.2881,"com.python.pydev.fastparser",1289727134861
stopped,bundle,com.python.pydev,1.4.8.2881,"com.python.pydev",1289727134862
stopped,bundle,org.python.pydev.customizations,1.4.8.2881,"org.python.pydev.customizations",1289727134862
stopped,bundle,org.python.pydev.debug,1.4.8.2881,"org.python.pydev.debug",1289727134863
stopped,bundle,org.python.pydev.refactoring,1.4.8.2881,"org.python.pydev.refactoring",1289727134863
stopped,bundle,org.python.pydev.templates,1.4.8.2881,"org.python.pydev.templates",1289727134863
stopped,bundle,org.python.pydev,1.4.8.2881,"org.python.pydev",1289727134878
stopped,bundle,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui",1289727134965
stopped,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1289727134973
stopped,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1289727134973
stopped,bundle,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.resources",1289727134973
stopped,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1289727134974
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1289727134974
stopped,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1289727134974
stopped,bundle,org.eclipse.mylyn.resources.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.resources.ui",1289727134974
stopped,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.3.1.v20100823-0100-e3x,"org.eclipse.mylyn.wikitext.tasks.ui",1289727134974
stopped,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1289727134975
stopped,bundle,org.eclipse.mylyn.help.ui,3.4.1.v20100823-0100-e3x,"org.eclipse.mylyn.help.ui",1289727134975
stopped,bundle,org.eclipse.mylyn.tasks.bugs,3.4.1.v20100823-0100-e3x,"org.eclipse.mylyn.tasks.bugs",1289727134975
stopped,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1289727134975
stopped,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1289727134975
stopped,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1289727134976
stopped,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1289727134976
stopped,bundle,org.eclipse.cdt.debug.ui.memory.transport,2.1.0.201009141542,"org.eclipse.cdt.debug.ui.memory.transport",1289727134977
stopped,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1289727134978
stopped,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1289727134984
stopped,bundle,org.eclipse.mylyn.wikitext.ui,1.3.0.v20100608-0100-e3x,"org.eclipse.mylyn.wikitext.ui",1289727134984
