what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1295493438643
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1295493438690
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1295493438712
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1295493438834
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1295493438891
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1295493438904
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1295493438928
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1295493438928
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1295493438977
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1295493439051
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1295493439067
started,bundle,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.resources",1295493439074
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1295493439074
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1295493439081
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1295493439099
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1295493439109
started,bundle,com.python.pydev,1.4.8.2881,"com.python.pydev",1295493439120
started,bundle,com.python.pydev.analysis,1.4.8.2881,"com.python.pydev.analysis",1295493439152
started,bundle,org.eclipse.jdt.core,3.6.1.v_A68_R36x,"org.eclipse.jdt.core",1295493439168
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1295493439204
started,bundle,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui",1295493439243
started,bundle,org.python.pydev,1.4.8.2881,"org.python.pydev",1295493439271
started,bundle,org.python.pydev.core,1.4.8.2881,"org.python.pydev.core",1295493439292
started,bundle,org.python.pydev.parser,1.4.8.2881,"org.python.pydev.parser",1295493439321
started,bundle,com.mbartl.eclipse.viplugin.statusbar,1.0.5,"com.mbartl.eclipse.viplugin.statusbar",1295493439322
started,bundle,com.mbartl.viplugin.eclipse.layer,1.20.1,"com.mbartl.viplugin.eclipse.layer",1295493439335
os,sysinfo,,,"linux",1295493439341
arch,sysinfo,,,"x86",1295493439342
ws,sysinfo,,,"gtk",1295493439342
locale,sysinfo,,,"zh_CN",1295493439342
processors,sysinfo,,,"2",1295493439342
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1295493439342
java.runtime.version,sysinfo,,,"1.6.0_20-b20",1295493439342
java.specification.name,sysinfo,,,"Java Platform API Specification",1295493439342
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1295493439342
java.specification.version,sysinfo,,,"1.6",1295493439342
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1295493439342
java.version,sysinfo,,,"1.6.0_20",1295493439342
java.vm.info,sysinfo,,,"mixed mode, sharing",1295493439342
java.vm.name,sysinfo,,,"OpenJDK Client VM",1295493439342
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1295493439342
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1295493439342
java.vm.specification.version,sysinfo,,,"1.0",1295493439342
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1295493439342
java.vm.version,sysinfo,,,"19.0-b09",1295493439342
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295493439352
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1295493439398
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1295493439689
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1295493439753
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1295493439931
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1295493440077
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1295493440087
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1295493441019
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1295493441056
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295493457857
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295493463853
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295493654466
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295493656587
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295493657248
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295493658005
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295493659454
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295493660490
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1295493745326
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1295493745371
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1295493750532
