what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1287794119775
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1287794119787
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1287794119808
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1287794119822
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1287794119931
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1287794119989
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1287794120004
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1287794120013
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1287794120013
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1287794120024
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1287794120051
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1287794120067
started,bundle,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.resources",1287794120073
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1287794120074
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1287794120081
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1287794120099
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1287794120108
os,sysinfo,,,"linux",1287794120111
arch,sysinfo,,,"x86",1287794120112
ws,sysinfo,,,"gtk",1287794120112
locale,sysinfo,,,"zh_CN",1287794120112
processors,sysinfo,,,"2",1287794120112
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1287794120112
java.runtime.version,sysinfo,,,"1.6.0_20-b20",1287794120112
java.specification.name,sysinfo,,,"Java Platform API Specification",1287794120112
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1287794120112
java.specification.version,sysinfo,,,"1.6",1287794120112
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1287794120112
java.version,sysinfo,,,"1.6.0_20",1287794120112
java.vm.info,sysinfo,,,"mixed mode, sharing",1287794120112
java.vm.name,sysinfo,,,"OpenJDK Client VM",1287794120112
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1287794120112
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1287794120112
java.vm.specification.version,sysinfo,,,"1.0",1287794120112
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1287794120112
java.vm.version,sysinfo,,,"17.0-b16",1287794120112
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1287794120409
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1287794120445
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1287794120622
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1287794120658
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1287794120806
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1287794120967
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1287794121002
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1287794756394
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201009141542,"org.eclipse.cdt.debug.core",1287794756719
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui",1287794756764
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1287794757476
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.window.customizePerspective",1287794764830
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1287794764850
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.window.lockToolBar",1287794768870
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.window.lockToolBar",1287794771525
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1287794782961
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.3.v20100909-0100-e3x,"org.eclipse.cdt.mylyn.ui",1287794784844
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1287794785032
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1287794785846
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1287794786003
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201009141542,"org.eclipse.cdt.debug.mi.core",1287794786039
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.0.201009141542,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1287794786040
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.0.201009141542,"org.eclipse.cdt.debug.ui.memory.search",1287794786064
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1287794786077
stopped,bundle,org.eclipse.cdt.dsf.ui,2.1.1.201009141542,"org.eclipse.cdt.dsf.ui",1287794786117
activated,perspective,org.eclipse.cdt.ui,,"org.eclipse.cdt.ui.CPerspective",1287840945699
