what,kind,bundleId,bundleVersion,description,time
opened,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.MemoryView",1287216403849
opened,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.RegisterView",1287216403953
opened,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.ModuleView",1287216404023
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.StepInto",1287216418627
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.VariableView",1287216422363
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1287216434669
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1287216446449
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1287216446496
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.VariableView",1287216448724
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1287216465654
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.VariableView",1287216475312
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1287216484069
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.StepOver",1287216498842
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1287216512581
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1287216953630
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.StepOver",1287216963542
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1287216974139
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1287216997496
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.StepOver",1287217047944
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.VariableView",1287217052801
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1287217066544
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.VariableView",1287217068113
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1287217080452
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1287217131873
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1287217135254
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1287217165933
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1287217178303
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1287217225913
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1287217226005
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1287217233906
closed,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1287217233906
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1287217258944
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1287217294089
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1287217372265
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1287217373436
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1287217380886
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1287217425898
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1287217522844
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1287217534496
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1287217535033
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1287217568000
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1287217569889
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1287217570259
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1287217589482
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1287217591595
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1287217592239
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1287217593347
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1287217652616
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1287217655349
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1287217662118
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1287217670495
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1287217832670
